YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2017,6,KYSELA PERE ET FILS LTD,154300,MILTON PARK SHEARWATER CHARD - 750ML,WINE,0.00,0.00,4.00
2017,6,BACCHUS IMPORTERS LTD,15431,PINE RIDGE CARNEROS CHARD - 750ML,WINE,0.08,-0.08,0.00
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,15440,MASI MASIANCO - 750ML,WINE,2.14,0.00,2.00
2017,6,DIAGEO NORTH AMERICA INC,154466,SMIRNOFF VODKA - RASPBERRY TW - 375ML,LIQUOR,0.08,0.00,0.00
2017,6,BACCHUS IMPORTERS LTD,15458,BELLINI COCKTAIL OF PROSECCO - 750ML,WINE,0.16,0.00,3.00
2017,6,MILLER BREWING COMPANY,1546,CUSQUENA BEER-PERU 4/6 NR - 12OZ,BEER,28.25,23.00,411.00
2017,6,MONSIEUR TOUTON SELECTION,155020,MAPRECO VINHO VERDE - 750ML,WINE,0.00,0.00,3.00
2017,6,BARON FRANCOIS LTD,155098,DOM GEOFFROY CHAB LE VERGER - 750ML,WINE,0.00,0.00,1.00
2017,6,TREASURY WINE ESTATES AMERICAS COMPANY,155454,ETUDE CARNEROS P/NOIR - 750ML,WINE,0.08,0.00,0.00
2017,6,WILLIAM GRANT AND SONS INC,155837,FLOR DE CANA - GOLD - 750ML,LIQUOR,2.49,0.00,0.00
2017,6,BACCHUS IMPORTERS LTD,155900,DONNAFUGATA ANTHILIA - 750ML,WINE,0.00,0.00,1.00
2017,6,E & J GALLO WINERY,156043,ALLEGRINI VALPOLICELLA CLASS - 750ML,WINE,6.94,10.00,1.00
2017,6,A VINTNERS SELECTIONS,15610,MARIETTA OV RED - 750ML,WINE,3.71,4.00,0.00
2017,6,A VINTNERS SELECTIONS,156116,FALESCO VITIANO ROSE - 750ML,WINE,0.24,0.00,0.00
2017,6,KATCEF BROTHERS INC,1562,TROEGS TROEGENATOR DOUBLE 4/6 NR - 12OZ,BEER,7.75,12.00,46.00
2017,6,KYSELA PERE ET FILS LTD,156426,REVERDY SANCERRE BLC - 750ML,WINE,1.16,0.00,0.00
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,156515,MOUNT VEEDER CAB - 750ML,WINE,0.50,0.00,0.00
2017,6,SOUTHERN GLAZERS WINE AND SPIRITS,15652,YARDEN GALILEE S/BLC - 750ML,WINE,0.49,0.00,0.00
2017,6,BARON FRANCOIS LTD,156728,ANTECH BLANQUETTE DE LIMOUX - 750ML,WINE,0.40,-0.08,0.00
2017,6,EASTERN LIQUOR DISTRIBUTORS INC,156736,SHAO HSING HUA TIAO CHIEW - 750ML,WINE,0.49,0.00,0.00
2017,6,BARON FRANCOIS LTD,156744,CH TOUR PUYBLANQUET ST EMIL - 750ML,WINE,0.96,2.00,1.00
2017,6,DIONYSOS IMPORTS INC,156930,MAVRODAPHNE OF PATRAS - 750ML,WINE,0.00,0.00,4.00
2017,6,MONSIEUR TOUTON SELECTION,15695,DOG POINT VYDS S/BLC - 750ML,WINE,1.05,1.00,2.00
2017,6,KOBRAND CORPORATION,15709,DOM CARNEROS BRUT CHAMP - 750ML,WINE,7.62,8.00,12.00
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,157260,KENWOOD S/BLC 12/CS - 375ML,WINE,0.25,0.00,1.00
2017,6,PRESTIGE BEVERAGE GROUP OF MD LLC,157600,DELLA SCALA MONTEPULCIANO - 750ML,WINE,0.00,0.00,3.00
2017,6,CONSTANTINE WINES INC,157724,SAWANOTSURU GENSUH SAKE - 720ML,WINE,0.00,0.00,2.00
2017,6,DIONYSOS IMPORTS INC,157805,LAZARIDIS AMETHYSTOS WH - 750ML,WINE,1.00,0.00,10.00
2017,6,SOUTHERN GLAZERS WINE AND SPIRITS,157929,MARCHESI RUVIE BARB D'ALBA     31337 - 750ML,WINE,0.00,0.00,4.92
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,158151,CLOS DU BOIS MER 12/CS - 375ML,WINE,0.00,0.00,2.00
2017,6,MONSIEUR TOUTON SELECTION,158224,TOMAIOLO CHN RES - 750ML,WINE,0.00,0.00,1.00
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,158577,INNISKILLIN GOLD VIDAL - 375ML,WINE,0.00,0.00,1.00
2017,6,DIONYSOS IMPORTS INC,158674,PIERRE ET PAUL DURDILLY BEAUJ - 750ML,WINE,0.08,0.00,2.00
2017,6,BANFI PRODUCTS CORP,15881,COL DI SASSO SANG CAB - 750ML,WINE,4.43,9.75,7.00
2017,6,E & J GALLO WINERY,15920,EDNA VALLEY CHARD - 750ML,WINE,28.39,36.00,21.00
2017,6,ROYAL WINE CORP,159220,BARTENURA MOSCATO D'ASTI BLUE - 375ML,WINE,0.16,2.00,0.00
2017,6,SOUTHERN GLAZERS WINE AND SPIRITS,159271,FOLONARI CHARD - 750ML,WINE,2.23,0.00,0.00
2017,6,ROYAL WINE CORP,159344,TEAL LAKE CAB/MER - 750ML,WINE,0.58,1.00,0.00
